id,game_id,year,team_id,goals,result_id
425,12820,2008,12,3,1
426,12897,2008,12,2,2
427,12898,2008,12,4,2
428,12923,2008,12,4,1
429,12930,2008,12,0,2
430,12971,2008,12,0,2
431,13020,2008,12,2,2
432,13024,2008,12,3,1
433,13038,2008,12,1,2
434,13057,2008,12,7,1
435,19,2018,12,6,1
436,59,2018,12,0,2
437,98,2018,12,1,2
438,113,2018,12,2,2
439,151,2018,12,1,2
440,168,2018,12,2,1
441,188,2018,12,2,1
442,213,2018,12,5,4
443,227,2018,12,3,2
444,236,2018,12,6,1
445,266,2018,12,7,1
446,369,2018,12,1,2
447,381,2018,12,3,1
448,398,2018,12,5,2
449,412,2018,12,2,2
450,446,2018,12,4,1
451,482,2018,12,2,2
452,499,2018,12,0,2
453,527,2018,12,2,1
454,541,2018,12,2,2
455,595,2018,12,4,1
456,617,2018,12,4,1
457,634,2018,12,3,1
458,708,2018,12,1,2
459,726,2018,12,1,3
460,743,2018,12,1,3
461,764,2018,12,2,2
462,779,2018,12,4,2
463,793,2018,12,4,1
464,895,2018,12,3,2
465,912,2018,12,1,3
466,947,2018,12,5,1
467,992,2018,12,1,2
468,1059,2018,12,2,2
469,1072,2018,12,1,1
470,1092,2018,12,4,2
471,1132,2018,12,0,2
472,1191,2018,12,1,2
473,1208,2018,12,3,1
474,1229,2018,12,1,2
475,1259,2018,12,7,1
476,1285,2017,12,3,2
477,1308,2017,12,4,1
478,1323,2017,12,2,2
479,1337,2017,12,4,2
480,1380,2017,12,5,1
481,1395,2017,12,1,2
482,1470,2017,12,2,2
483,1486,2017,12,1,2
484,1514,2017,12,2,1
485,1528,2017,12,2,2
486,1613,2017,12,3,1
487,1628,2017,12,3,4
488,1643,2017,12,8,1
489,1685,2017,12,6,1
490,1712,2017,12,3,2
491,1726,2017,12,1,2
492,1778,2017,12,4,1
493,1804,2017,12,1,2
494,1819,2017,12,4,1
495,1843,2017,12,4,1
496,1864,2017,12,3,1
497,1890,2017,12,3,1
498,1905,2017,12,1,2
499,1935,2017,12,5,1
500,1949,2017,12,3,2
501,1963,2017,12,3,2
502,2025,2017,12,5,1
503,2105,2017,12,0,2
504,2114,2017,12,3,1
505,2194,2017,12,2,1
506,2218,2017,12,3,1
507,2234,2017,12,5,1
508,2257,2017,12,5,1
509,2287,2017,12,4,4
510,2303,2017,12,2,2
511,2319,2017,12,3,1
512,2332,2017,12,5,1
513,2393,2017,12,4,1
514,2409,2017,12,1,2
515,2422,2017,12,5,1
516,2438,2017,12,3,2
517,2502,2016,12,1,2
518,2539,2016,12,3,2
519,2567,2016,12,2,2
520,2583,2016,12,2,2
521,2602,2016,12,3,1
522,2649,2016,12,2,2
523,2688,2016,12,2,1
524,2704,2016,12,5,1
525,2771,2016,12,3,1
526,2790,2016,12,2,1
527,2860,2016,12,4,4
528,2885,2016,12,5,1
529,2910,2016,12,4,1
530,2922,2016,12,4,1
